text,label
"Мне очень понравился сервис",positive
"Отличный продукт, всё супер",positive
"Очень удобно и быстро",positive
"Классное приложение, буду пользоваться",positive
"Спасибо, всё работает отлично",positive
"Просто великолепно",positive
"Мне нравится этот сервис",positive
"Очень доволен результатом",positive
"Хороший интерфейс и удобство",positive
"Супер, рекомендую",positive
"Всё работает идеально",positive
"Приятно пользоваться",positive
"Отличный опыт",positive
"Очень качественно сделано",positive
"Мне всё зашло",positive
"Реально круто",positive
"Лучшее, что я пробовал",positive
"Всё просто и понятно",positive
"Интерфейс удобный",positive
"Работает быстро",positive
"Очень хороший сервис",positive
"Порадовало качество",positive
"Замечательно",positive
"Всё на высоте",positive
"Очень приятно удивлён",positive
"Отличная работа",positive
"Крутой продукт",positive
"Сервис топ",positive
"Мне очень понравилось",positive
"Супер результат",positive
"Работает без проблем",positive
"Очень доволен",positive
"Всё сделано удобно",positive
"Пользоваться одно удовольствие",positive
"Очень хорошо реализовано",positive
"Сервис понравился",positive
"Результат отличный",positive
"Очень классно",positive
"Сделано качественно",positive
"Очень удобно пользоваться",positive
"Мне всё нравится",positive
"Очень полезный сервис",positive
"Порадовал функционал",positive
"Просто супер",positive
"Работает стабильно",positive
"Отличная идея",positive
"Очень хорошо",positive
"Доволен сервисом",positive
"Качество отличное",positive
"Всё супер работает",positive
"Очень хороший опыт",positive
"Мне понравился интерфейс",positive
"Удобно и понятно",positive
"Отлично сделано",positive
"Сервис реально помогает",positive
"Очень круто реализовано",positive
"Мне зашло",positive
"Очень достойно",positive
"Приятный дизайн",positive
"Работает чётко",positive
"Очень удобно сделано",positive
"Отличный сервис",positive
"Рекомендую всем",positive
"Всё классно",positive
"Очень понравился продукт",positive
"Супер удобный сервис",positive
"Отличный результат",positive
"Очень приятно пользоваться",positive
"Сервис радует",positive
"Работает отлично",positive
"Очень доволен качеством",positive
"Отличное приложение",positive
"Всё идеально работает",positive
"Очень хороший интерфейс",positive
"Просто отлично",positive
"Сервис на уровне",positive
"Очень круто",positive
"Качество на высоте",positive
"Пользоваться легко",positive
"Очень понравилось",positive
"Работает быстро и стабильно",positive
"Очень приятно",positive
"Сервис отличный",positive
"Очень хорошо работает",positive
"Крутая штука",positive
"Рекомендую",positive
"Очень доволен результатом",positive
"Отличный сервис и поддержка",positive
"Всё работает как надо",positive
"Сервис огонь",positive
"Очень нравится",positive
"Прекрасный продукт",positive
"Лучшее приложение",positive
"Отличное качество",positive
"Очень крутой сервис",positive
"Мне понравилось всё",positive
"Очень хорошо сделано",positive
"Удобный и быстрый",positive
"Отличный интерфейс",positive
"Очень доволен приложением",positive
"Супер удобно",positive
"Работает отлично и быстро",positive
"Очень хороший продукт",positive
"Отличный функционал",positive
"Мне зашло приложение",positive
"Очень круто и удобно",positive
"Отличное решение",positive
"Очень качественно",positive
"Пользоваться приятно",positive
"Очень доволен сервисом",positive
"Отлично работает",positive
"Сервис супер",positive
"Очень классно сделано",positive
"Всё нравится",positive
"Отличное приложение и сервис",positive
"Очень удобно и понятно",positive
"Сервис просто супер",positive
"Отличный результат работы",positive
"Очень понравился сервис",positive
"Всё отлично работает",positive
"Очень крутое приложение",positive
"Пользоваться удобно",positive
"Отличный сервис и продукт",positive
"Очень доволен качеством сервиса",positive
"Сервис понравился очень",positive
"Отличная реализация",positive
"Очень хороший опыт использования",positive
"Работает отлично без ошибок",positive
"Сервис просто класс",positive
"Очень удобно пользоваться приложением",positive
"Отличное решение задачи",positive
"Очень понравилось приложение",positive
"Сервис реально крутой",positive
"Отличная идея и реализация",positive
"Очень доволен результатом работы",positive
"Крутой и удобный сервис",positive
"Очень хороший и удобный",positive
"Сервис работает отлично",positive
"Очень понравился интерфейс",positive
"Отличный продукт и сервис",positive
"Очень удобно и быстро работает",positive
"Сервис просто огонь",positive
"Очень доволен использованием",positive
"Отличное качество работы",positive
"Очень понравилось всё",positive
"Это ужасно, ничего не работает",negative
"Очень разочарован сервисом",negative
"Отвратительное качество",negative
"Постоянные ошибки",negative
"Очень плохой опыт",negative
"Никому не советую",negative
"Всё сломано",negative
"Поддержка ужасная",negative
"Приложение постоянно падает",negative
"Это худший сервис",negative
"Работает очень плохо",negative
"Совсем не понравилось",negative
"Ужасный интерфейс",negative
"Потратил время зря",negative
"Очень неудобно",negative
"Полный провал",negative
"Сервис не работает",negative
"Разочарование",negative
"Очень плохо сделано",negative
"Постоянные баги",negative
"Невозможно пользоваться",negative
"Качество ужасное",negative
"Очень неудобный сервис",negative
"Ничего не понятно",negative
"Всё тормозит",negative
"Очень медленно работает",negative
"Это кошмар",negative
"Ужасный опыт",negative
"Не рекомендую",negative
"Очень плохо",negative
"Сервис сломан",negative
"Постоянно вылетает",negative
"Это провал",negative
"Работает нестабильно",negative
"Очень разочарован",negative
"Сервис ужасный",negative
"Не понравилось",negative
"Очень плохо реализовано",negative
"Невозможно работать",negative
"Постоянные проблемы",negative
"Сделано ужасно",negative
"Очень неудобный интерфейс",negative
"Качество низкое",negative
"Это ужас",negative
"Сервис глючит",negative
"Очень плохо работает",negative
"Полный бардак",negative
"Не стоит своих денег",negative
"Очень сыро",negative
"Разочаровал",negative
"Работает через раз",negative
"Плохо оптимизировано",negative
"Сервис лагает",negative
"Это худшее приложение",negative
"Очень неприятный опыт",negative
"Всё зависает",negative
"Невозможно нормально использовать",negative
"Постоянно ошибки",negative
"Очень криво сделано",negative
"Сервис подвёл",negative
"Крайне плохо",negative
"Не работает как надо",negative
"Очень нестабильно",negative
"Это не работает",negative
"Плохой продукт",negative
"Очень разочаровывает",negative
"Работает ужасно",negative
"Сервис не оправдал ожиданий",negative
"Очень плохое качество",negative
"Это катастрофа",negative
"Сервис не понравился",negative
"Очень много багов",negative
"Работает отвратительно",negative
"Очень сырое решение",negative
"Никакого удобства",negative
"Очень плохо оптимизировано",negative
"Сервис тормозит",negative
"Очень неудобно пользоваться",negative
"Просто ужас",negative
"Очень плохой сервис",negative
"Ничего не работает нормально",negative
"Очень неприятно",negative
"Сервис ужасно работает",negative
"Очень плохой интерфейс",negative
"Всё работает плохо",negative
"Очень разочаровал продукт",negative
"Сервис постоянно лагает",negative
"Очень плохо всё",negative
"Это полный провал",negative
"Сервис отвратительный",negative
"Очень плохо сделано приложение",negative
"Невозможно нормально работать",negative
"Очень плохое приложение",negative
"Сервис не работает вообще",negative
"Очень разочарован качеством",negative
"Это худшее что я видел",negative
"Сервис ужасен",negative
"Очень плохой опыт использования",negative
"Ничего не понятно и неудобно",negative
"Очень плохо работает сервис",negative
"Сервис не стоит внимания",negative
"Очень плохо реализовано всё",negative
"Постоянные ошибки и баги",negative
"Очень неудобный продукт",negative
"Сервис постоянно падает",negative
"Очень плохое решение",negative
"Сервис просто ужас",negative
"Очень плохой результат",negative
"Невозможно пользоваться сервисом",negative
"Сервис отвратительно работает",negative
"Очень плохое качество работы",negative
"Сервис крайне неудобный",negative
"Очень плохой функционал",negative
"Сервис не работает нормально",negative
"Очень плохо оптимизирован сервис",negative
"Сервис вызывает только негатив",negative
"Очень плохое впечатление",negative
"Сервис полностью разочаровал",negative
"Очень плохой пользовательский опыт",negative
"Сервис не оправдал ожиданий вообще",negative
"Очень неудобно и плохо",negative
"Сервис крайне плох",negative
"Очень плохая реализация",negative
"Сервис работает ужасно и медленно",negative